instance_name,dataset,seed,solver_name,alpha,beta,energy,raw_energy,time,mode,use_local_search,local_search_iterations,eigsh_iterations,warm_start,alpha_index,precision,lambda1,degree_scale,energy_bound,timestamp
G72.txt,Gset,42,SpecAnn,0.0,1.0,-12614.0,-11450.0,0.0486238002777099,0,True,6,129,True,0,32,0.1090913936495781,10000.0,-2181.827872991562,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.0887356509416113,1.0,-12474.0,-11530.0,0.0129785537719726,0,True,6,33,True,1,32,0.1090914085507392,10000.0,-2181.8281710147858,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.1254911610276317,1.0,-11446.0,-8054.0,0.0127623081207275,0,True,6,33,True,2,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.1536946558735679,1.0,-12370.0,-11382.0,0.0127801895141601,0,True,6,33,True,3,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.1774713018832227,1.0,-11550.0,-9830.0,0.0128417015075683,0,True,6,33,True,4,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.1984189475331362,1.0,-11690.0,-10046.0,0.0127756595611572,0,True,6,33,True,5,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2173570668006655,1.0,-11946.0,-10306.0,0.0127747058868408,0,True,6,33,True,6,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2347724648169381,1.0,-12190.0,-10694.0,0.0128681659698486,0,True,6,33,True,7,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2509823220552634,1.0,-11950.0,-10250.0,0.0127785205841064,0,True,6,33,True,8,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2662069528248341,1.0,-12122.0,-10650.0,0.0128004550933837,0,True,6,33,True,9,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2806067666331568,1.0,-12122.0,-10650.0,0.0126838684082031,0,True,6,33,True,10,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
G72.txt,Gset,42,SpecAnn,0.2943028597012718,1.0,-12122.0,-10650.0,0.012714147567749,0,True,6,33,True,11,32,0.1090914160013198,10000.0,-2181.8283200263977,2025-11-24 05:25:34
