instance_name,dataset,seed,solver_name,energy,time,local_search,local_search_iterations,alpha,beta,mode,precision,timestamp
er_4194304_1_5.bin.gz,erdos_renyi,42,SpecAnn,-1127808301.0,94.37035536766052,True,55,0.9474374888485204,1.0,0,32,2025-11-20 18:09:16
er_4194304_1_5.bin.gz,erdos_renyi,43,SpecAnn,-1127751599.0,105.04996514320374,True,61,0.9474374888485204,1.0,0,32,2025-11-20 18:11:01
er_4194304_1_5.bin.gz,erdos_renyi,44,SpecAnn,-1127641544.9999998,104.24824357032776,True,59,0.9474374888485204,1.0,0,32,2025-11-20 18:12:45
er_4194304_1_5.bin.gz,erdos_renyi,45,SpecAnn,-1127633007.0,96.39675068855286,True,56,0.9474374888485204,1.0,0,32,2025-11-20 18:14:22
er_4194304_1_5.bin.gz,erdos_renyi,46,SpecAnn,-1127708509.0,105.7165355682373,True,55,0.9474374888485204,1.0,0,32,2025-11-20 18:16:08
er_4194304_1_5.bin.gz,erdos_renyi,47,SpecAnn,-1127728043.0,99.1039686203003,True,67,0.9474374888485204,1.0,0,32,2025-11-20 18:17:47
er_4194304_1_5.bin.gz,erdos_renyi,48,SpecAnn,-1127601593.0,106.93067860603333,True,72,0.9474374888485204,1.0,0,32,2025-11-20 18:19:34
er_4194304_1_5.bin.gz,erdos_renyi,49,SpecAnn,-1127803631.0,105.36933064460754,True,56,0.9474374888485204,1.0,0,32,2025-11-20 18:21:19
er_4194304_1_5.bin.gz,erdos_renyi,50,SpecAnn,-1127744807.0,98.1930284500122,True,58,0.9474374888485204,1.0,0,32,2025-11-20 18:22:58
er_4194304_1_5.bin.gz,erdos_renyi,51,SpecAnn,-1127744713.0,99.77630925178528,True,63,0.9474374888485205,1.0,0,32,2025-11-20 18:24:37
