instance_name,dataset,seed,solver_name,energy,time,local_search,local_search_iterations,n_random_solutions,max_local_iterations,precision,timestamp
ba_2048_1_0.txt,barabasi_albert_10ins_m20,42,onlyLS,-513559.00000000006,0.1114542484283447,True,73,128,1000,32,2025-11-19 21:00:14
ba_2048_1_0.txt,barabasi_albert_10ins_m20,43,onlyLS,-518097.00000000006,0.1114544868469238,True,75,128,1000,32,2025-11-19 21:00:14
ba_2048_1_0.txt,barabasi_albert_10ins_m20,44,onlyLS,-520995.00000000006,0.112558364868164,True,80,128,1000,32,2025-11-19 21:00:14
ba_2048_1_0.txt,barabasi_albert_10ins_m20,45,onlyLS,-516040.9999999999,0.1113460063934326,True,76,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,46,onlyLS,-513523.0,0.1098487377166748,True,66,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,47,onlyLS,-516254.9999999999,0.1110415458679199,True,75,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,48,onlyLS,-519854.9999999999,0.1087205410003662,True,67,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,49,onlyLS,-516487.00000000006,0.1076946258544921,True,64,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,50,onlyLS,-518863.0,0.1084060668945312,True,65,128,1000,32,2025-11-19 21:00:15
ba_2048_1_0.txt,barabasi_albert_10ins_m20,51,onlyLS,-512620.99999999994,0.10791563987731934,True,63,128,1000,32,2025-11-19 21:00:15
