instance_name,dataset,seed,solver_name,energy,time,local_search,local_search_iterations,n_random_solutions,max_local_iterations,precision,timestamp
ba_2048_1_1.txt,barabasi_albert_10ins_m20,42,onlyLS,-512941.0,0.110886812210083,True,73,128,1000,32,2025-11-19 21:00:15
ba_2048_1_1.txt,barabasi_albert_10ins_m20,43,onlyLS,-519699.0,0.1139883995056152,True,84,128,1000,32,2025-11-19 21:00:15
ba_2048_1_1.txt,barabasi_albert_10ins_m20,44,onlyLS,-519429.0,0.1093790531158447,True,66,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,45,onlyLS,-514297.0,0.112553596496582,True,79,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,46,onlyLS,-512169.0,0.1084747314453125,True,66,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,47,onlyLS,-513335.0,0.1100516319274902,True,62,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,48,onlyLS,-516258.9999999999,0.1131267547607421,True,64,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,49,onlyLS,-512745.0,0.1193013191223144,True,82,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,50,onlyLS,-513113.00000000006,0.1282527446746826,True,108,128,1000,32,2025-11-19 21:00:16
ba_2048_1_1.txt,barabasi_albert_10ins_m20,51,onlyLS,-513548.99999999994,0.1159369945526123,True,69,128,1000,32,2025-11-19 21:00:16
