instance_name,dataset,seed,solver_name,energy,cut,bound,time,eta,T,init,lr_decay,patience,grad_clip,n_rounding,epsilon,gpu,timestamp
G33.txt,Gset,42,DSN_thorough,-1038.0,1038.0,-3129.600715918001,31.213438987731934,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:46:32
G33.txt,Gset,43,DSN_thorough,-1046.0,1046.0,-3128.420352935791,31.115582942962646,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:47:03
G33.txt,Gset,44,DSN_thorough,-1042.0,1042.0,-3133.8361252488394,31.17664051055908,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:47:34
G33.txt,Gset,45,DSN_thorough,-1038.0,1038.0,-3128.0461791895505,30.92700719833374,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:48:05
G33.txt,Gset,46,DSN_thorough,-1036.0,1036.0,-3129.9067980079853,31.106838941574097,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:48:37
G33.txt,Gset,47,DSN_thorough,-1044.0,1044.0,-3132.0535191562667,31.159639358520508,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:49:08
G33.txt,Gset,48,DSN_thorough,-1040.0,1040.0,-3128.692150115967,30.954451322555546,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:49:39
G33.txt,Gset,49,DSN_thorough,-1034.0,1034.0,-3128.901672601409,30.861051321029663,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:50:10
G33.txt,Gset,50,DSN_thorough,-1038.0,1038.0,-3128.376674858184,31.058367252349854,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:50:41
G33.txt,Gset,51,DSN_thorough,-1044.0,1044.0,-3131.6733360290527,31.142908096313477,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 18:51:12
