instance_name,dataset,seed,solver_name,energy,cut,bound,time,eta,T,init,lr_decay,patience,grad_clip,n_rounding,epsilon,gpu,timestamp
G44.txt,Gset,42,DSN_thorough,-6432.0,6432.0,-9989.998817443848,6.900624513626099,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:24:47
G44.txt,Gset,43,DSN_thorough,-6432.0,6432.0,-9989.99855163577,7.098918914794922,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:24:54
G44.txt,Gset,44,DSN_thorough,-6432.0,6432.0,-9989.99855163577,7.040176868438721,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:01
G44.txt,Gset,45,DSN_thorough,-6432.0,6432.0,-9989.99855163577,7.130490303039551,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:08
G44.txt,Gset,46,DSN_thorough,-6432.0,6432.0,-9989.998817443848,6.922129154205322,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:15
G44.txt,Gset,47,DSN_thorough,-6432.0,6432.0,-9989.998473510612,6.93771505355835,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:22
G44.txt,Gset,48,DSN_thorough,-6432.0,6432.0,-9989.998739318282,6.9019036293029785,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:29
G44.txt,Gset,49,DSN_thorough,-6432.0,6432.0,-9989.999427184986,6.813389778137207,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:36
G44.txt,Gset,50,DSN_thorough,-6432.0,6432.0,-9989.998207702709,7.202342748641968,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:43
G44.txt,Gset,51,DSN_thorough,-6432.0,6432.0,-9989.998739318282,6.875648498535156,0.003,500,degree,0.999,30,0.5,100,0.01,True,2026-01-14 19:25:50
