instance_name,dataset,seed,solver_name,energy,cut,bound,time,eta,T,init,lr_decay,patience,grad_clip,n_rounding,epsilon,gpu,timestamp
G31.txt,Gset,42,DSN,-2929.0,2929.0,-8332.172012116178,22.64848661422729,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:10:40
G31.txt,Gset,43,DSN,-2901.0,2901.0,-8317.626953125,22.794694423675537,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:11:03
G31.txt,Gset,44,DSN,-2914.0,2914.0,-8316.326141357422,22.8834547996521,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:11:26
G31.txt,Gset,45,DSN,-2896.0,2896.0,-8332.584889684105,22.67242813110352,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:11:49
G31.txt,Gset,46,DSN,-2903.0,2903.0,-8316.485912566248,22.829813957214355,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:12:12
G31.txt,Gset,47,DSN,-2915.0,2915.0,-8315.8540725708,22.81253767013549,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:12:34
G31.txt,Gset,48,DSN,-2891.0,2891.0,-8331.247838210897,22.60166883468628,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:12:57
G31.txt,Gset,49,DSN,-2941.0,2941.0,-8331.572087498265,22.69952178001404,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:13:20
G31.txt,Gset,50,DSN,-2898.0,2898.0,-8331.55345916748,22.72489070892334,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:13:42
G31.txt,Gset,51,DSN,-2883.0,2883.0,-8328.84324282012,22.686713457107544,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 18:14:05
