instance_name,dataset,seed,solver_name,energy,cut,bound,time,eta,T,init,lr_decay,patience,grad_clip,n_rounding,epsilon,gpu,timestamp
G11.txt,Gset,42,DSN,-440.0,440.0,-1229.3731657978788,20.06474637985229,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:22:26
G11.txt,Gset,43,DSN,-440.0,440.0,-1230.5549621582031,19.72389960289001,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:22:45
G11.txt,Gset,44,DSN,-442.0,442.0,-1230.5902466270563,19.77682900428772,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:23:05
G11.txt,Gset,45,DSN,-438.0,438.0,-1229.4785499572754,19.52482032775879,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:23:25
G11.txt,Gset,46,DSN,-442.0,442.0,-1229.972743988037,19.666951179504395,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:23:44
G11.txt,Gset,47,DSN,-442.0,442.0,-1232.3134381820273,19.51418948173523,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:24:04
G11.txt,Gset,48,DSN,-440.0,440.0,-1231.4487428968132,19.72758150100708,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:24:24
G11.txt,Gset,49,DSN,-442.0,442.0,-1231.6577911376953,20.129751205444336,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:24:44
G11.txt,Gset,50,DSN,-442.0,442.0,-1229.9463256794916,19.631892681121823,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:25:03
G11.txt,Gset,51,DSN,-440.0,440.0,-1229.6146377269397,19.810417652130127,0.005,300,identity,0.998,20,1.0,50,0.01,True,2026-01-14 17:25:23
