instance_name,dataset,seed,solver_name,energy,time,qqa_best_obj,qqa_runtime,sol_size,learning_rate,temp,min_bg,max_bg,curve_rate,div_param,num_epochs,check_interval,device,timestamp
er_1024_1_1.txt,erdos_renyi_10ins_m20,42,QQA,-264669.0,6.335402488708496,-264669.0,6.331098556518555,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-21 05:23:55
er_1024_1_1.txt,erdos_renyi_10ins_m20,43,QQA,-263317.0,6.407961130142212,-263317.0,6.404257774353027,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:42:37
er_1024_1_1.txt,erdos_renyi_10ins_m20,44,QQA,-265665.0,6.37167239189148,-265665.0,6.367782354354858,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:42:44
er_1024_1_1.txt,erdos_renyi_10ins_m20,45,QQA,-264045.0,6.365901708602905,-264045.0,6.361769914627075,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:42:50
er_1024_1_1.txt,erdos_renyi_10ins_m20,46,QQA,-264773.0,6.358569860458374,-264773.0,6.35483193397522,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:42:56
er_1024_1_1.txt,erdos_renyi_10ins_m20,47,QQA,-267775.0,6.363269090652466,-267775.0,6.359679460525513,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:43:03
er_1024_1_1.txt,erdos_renyi_10ins_m20,48,QQA,-264445.0,6.357228755950928,-264445.0,6.353543996810913,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:43:09
er_1024_1_1.txt,erdos_renyi_10ins_m20,49,QQA,-261701.0,6.370074987411499,-261701.0,6.3662590980529785,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:43:16
er_1024_1_1.txt,erdos_renyi_10ins_m20,50,QQA,-267349.0,6.358600616455078,-267349.0,6.354340314865112,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:43:22
er_1024_1_1.txt,erdos_renyi_10ins_m20,51,QQA,-266133.0,6.362271547317505,-266133.0,6.358625173568726,100,1.0,0.001,-3.0,0.1,4.0,0.2,3000,500,cuda,2025-11-20 14:43:28
